driver_id,stop_number,point_id,name,poi_type,lat,lon,passengers,distance_to_chateau,arrival_time
0,1,2865,Point 2865,crossing,48.4574509,-2.0490401,1,0.8460638379970267,10:12
0,2,1397,Point 1397,crossing,48.4556553,-2.0595199,3,1.235151504299185,08:11
0,3,2122,Point 2122,crossing,48.4653215,-2.0858843,3,3.4564896156250877,08:28
0,4,1231,Point 1231,stop,48.4635485,-2.1023269,2,4.489262960461039,10:58
0,5,1031,Point 1031,turning_circle,48.4623786,-2.0936162,3,3.8406074783573576,10:08
0,6,528,Point 528,turning_circle,48.4529905,-2.064373,1,1.4740649853088996,08:45
1,1,2279,Point 2279,turning_circle,48.4443228,-2.0559615,1,1.0656138370456252,09:11
1,2,2289,Point 2289,stop,48.442951,-2.070668,2,2.0811414052991632,10:32
1,3,3278,Point 3278,give_way,48.4295772,-2.1246302,1,6.328900428538219,10:39
1,4,2599,Point 2599,give_way,48.4671906,-2.1223991,3,6.021230392952234,08:20
1,5,581,Point 581,crossing,48.4810643,-2.1677246,1,9.685605838244106,10:17
1,6,473,La Poissonnais,bus_stop,48.491524,-2.185214,1,11.318906207091718,09:33
1,7,2691,TRIGAVOU Mairie,bus_stop,48.526582,-2.08051,3,8.872316463270987,10:29
1,8,1312,Point 1312,turning_circle,48.5369974,-2.0525646,2,9.647677473131914,09:04
1,9,2081,Salines,bus_stop,48.5729762,-1.9657803,2,14.82131111327734,08:03
1,10,487,Point 487,crossing,48.5261537,-2.001341,2,9.012416628731614,08:41
1,11,1758,Point 1758,give_way,48.4747572,-2.0428013,2,2.713695576699146,09:59
1,12,3350,Point 3350,stop,48.4750523,-2.044541,3,2.742659025169,10:12
1,13,886,Point 886,crossing,48.4679547,-2.0485044,1,1.972652314543253,08:57
2,1,3337,Point 3337,street_lamp,48.4524806,-2.0430999,3,0.2634954451436457,11:30
2,2,3719,Point 3719,stop,48.4655201,-2.0370884,3,1.7755720082875175,08:09
2,3,2812,Point 2812,crossing,48.5152274,-1.8999052,1,12.883849389366793,10:34
2,4,1006,Point 1006,crossing,48.5169125,-1.898403,3,13.080650071197502,10:00
2,5,606,Point 606,give_way,48.5096598,-1.8736809,2,14.229539672837591,08:02
2,6,1199,Point 1199,give_way,48.4919284,-1.8527689,1,14.889645636213322,09:12
2,7,1165,Point 1165,crossing,48.4814983,-1.8852886,3,12.25713652831283,11:27
2,8,1619,Point 1619,crossing,48.3974012,-1.90671,1,11.768864277475004,11:30
2,9,517,Point 517,crossing,48.417305,-1.9706704,1,6.58951280482771,10:26
2,10,602,Point 602,turning_circle,48.4527603,-2.0233598,3,1.6012536826784716,11:24
2,11,1344,Point 1344,give_way,48.4498165,-2.0432183,1,0.13118455914273475,11:08
